GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
 "01998","Alabama (Metropolitan Portion)",5,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",7243974,7921879,8748689,9723938,10903833,12172860,13530294,15152574,16754773,18912653,21005538,23231110,25728542,27199807,29082091,32112121,34678538,36772890,39059587,42097448,45853954,48892725,51635495,55596442,58106813,61593936,65234375,68349680,72069756,76762824,79494996,83831020,86490577,89134710,93014409,99648550,105995946,113748185,119418772,123335875,121205643,126293127,132129880,136135842,137020551,142146531,148024746,151111461,156506365,164023944
 "01998","Alabama (Metropolitan Portion)",5,CAINC1,2,"...","Population (persons) 1/","Number of persons",2388061,2421491,2453950,2484190,2515666,2547422,2580869,2625901,2663153,2703763,2732213,2757633,2772221,2779589,2788582,2805804,2826713,2848371,2873272,2885939,2898001,2919170,2960415,3004648,3053954,3089223,3118330,3144789,3175970,3206658,3227356,3247420,3265623,3282048,3307006,3334456,3372563,3427353,3467177,3507019,3546619,3573779,3590906,3612090,3632141,3649030,3663178,3678841,3693398,3709913
 "01998","Alabama (Metropolitan Portion)",5,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3033,3271,3565,3914,4334,4779,5243,5770,6291,6995,7688,8424,9281,9786,10429,11445,12268,12910,13594,14587,15823,16749,17442,18503,19027,19938,20920,21734,22692,23939,24632,25815,26485,27158,28126,29884,31429,33188,34443,35168,34175,35339,36796,37689,37724,38955,40409,41076,42375,44212
 "01999","Alabama (Nonmetropolitan Portion) *",5,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",2493741,2706439,2950652,3275160,3735034,4068195,4569822,5171482,5640120,6427269,7145873,7806013,8736970,9196287,9888411,10758063,11420194,12017424,12592364,13461383,14541756,15347045,16294445,17443335,18291232,19254510,20239225,21000319,21911623,23190464,23958062,24524079,25664353,26057099,27196667,29091329,30331392,31427648,32908233,34030949,33939630,35223434,35812877,36668233,37394959,38311238,39519689,39703213,40776823,42431067
 "01999","Alabama (Nonmetropolitan Portion) *",5,CAINC1,2,"...","Population (persons) 1/","Number of persons",1051939,1028355,1043502,1055890,1065103,1080383,1099664,1111303,1119583,1130357,1137231,1142735,1146312,1145674,1145518,1146020,1145807,1143198,1141990,1137903,1132218,1130885,1138741,1149366,1160248,1171006,1178470,1186313,1191965,1198043,1202785,1204753,1202011,1198041,1196485,1196273,1197242,1201628,1205663,1211187,1211319,1211669,1207928,1203474,1198319,1193451,1189982,1185904,1181722,1177958
 "01999","Alabama (Nonmetropolitan Portion) *",5,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",2371,2632,2828,3102,3507,3766,4156,4654,5038,5686,6284,6831,7622,8027,8632,9387,9967,10512,11027,11830,12844,13571,14309,15176,15765,16443,17174,17702,18383,19357,19919,20356,21351,21750,22730,24318,25334,26154,27295,28097,28019,29070,29648,30469,31206,32101,33210,33479,34506,36021
 "02000","Alaska",8,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",1575306,1798953,1984124,2166758,2507651,3042645,4156808,4893293,5081877,5235885,5546800,6285047,7152287,8733371,9513455,10120618,10965793,11065577,10618140,11067575,12110504,12843337,13405073,14270677,15007304,15513140,15955835,16403012,17276624,18114454,18675678,20078665,21240393,22246533,23239634,24338346,25956877,27726673,29838859,32825068,32896441,35293829,37827809,39169240,38859491,41110401,42469900,41536204,42015275,43818200
 "02000","Alaska",8,CAINC1,2,"...","Population (persons) 1/","Number of persons",296000,304328,316494,326494,333232,344696,370973,393115,397363,402191,403544,405315,418493,449606,488418,513704,532496,544269,539310,541984,547160,553290,570193,588736,599432,603308,604412,608569,612968,619932,624779,627963,633714,642337,648414,659286,666946,675302,680300,687455,698895,713906,722038,730399,737045,736307,737547,741504,739786,737438
 "02000","Alaska",8,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",5322,5911,6269,6636,7525,8827,11205,12447,12789,13018,13745,15507,17091,19424,19478,19701,20593,20331,19688,20420,22133,23213,23510,24240,25036,25713,26399,26953,28185,29220,29892,31974,33517,34634,35841,36916,38919,41058,43861,47749,47069,49438,52390,53627,52723,55833,57583,56016,56794,59420
 "02998","Alaska (Metropolitan Portion)",8,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",1051701,1188435,1295254,1420753,1554006,1964079,2825026,3260860,3444979,3465094,3618577,4038174,4665265,5827056,6399996,6911915,7387203,7377899,7028905,7124940,7756221,8255553,8661863,9311937,9826685,10162836,10402853,10722391,11399193,12074328,12502535,13385821,14323659,15161723,15871183,16773766,18013846,19467995,21059776,23270736,23208152,24751209,26395499,27032615,26614745,28076499,29120488,28431873,28657563,29931608
