GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
 "11140","Americus, GA (Micropolitan Statistical Area)", ,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",2657,2874,3189,3614,4029,4058,4195,4705,4842,5702,6279,6777,7726,7950,8605,9961,10449,11055,11705,12834,13375,13981,14648,15196,15873,17447,18883,19508,19962,20534,20876,21013,21698,22287,23164,24322,25174,25827,26222,26933,26905,27305,29359,29811,29111,30629,31791,32137,33837,35111
 "11220","Amsterdam, NY (Micropolitan Statistical Area)", ,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",199946,216316,234649,249854,262438,280173,301792,319585,353296,379356,411730,458062,507413,541934,581362,625230,652484,688639,725963,762355,829193,876828,902068,951675,973624,1005814,1036141,1043571,1078548,1131355,1166636,1233475,1301111,1351814,1421615,1441697,1460550,1524285,1594912,1658089,1671904,1741317,1767143,1779043,1801128,1817860,1882893,1918542,2023349,2058697
 "11220","Amsterdam, NY (Micropolitan Statistical Area)", ,CAINC1,2,"...","Population (persons) 1/","Number of persons",55970,56153,57122,57470,56740,55841,54802,54457,54860,54798,53553,53396,53122,53066,52805,52869,52223,51712,51317,51640,51871,52036,51896,51928,51807,51752,51649,51305,50798,50321,49918,49605,49472,49298,49449,49460,49505,49724,49798,49951,50001,50300,49901,49822,49738,49673,49579,49206,49216,49455
 "11220","Amsterdam, NY (Micropolitan Statistical Area)", ,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3572,3852,4108,4348,4625,5017,5507,5869,6440,6923,7688,8579,9552,10212,11010,11826,12494,13317,14147,14763,15986,16850,17382,18327,18793,19435,20061,20341,21232,22483,23371,24866,26300,27421,28749,29149,29503,30655,32028,33194,33437,34619,35413,35708,36212,36597,37978,38990,41112,41628
 "11380","Andrews, TX (Micropolitan Statistical Area)", ,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",37335,40614,47883,43380,50717,59795,72421,82569,95344,104092,115275,131937,174612,204095,210820,221938,225654,203267,195091,189245,199303,207443,209044,219334,225067,230244,230068,235156,251666,249372,244912,266302,298578,299533,323117,344284,379004,433310,472190,562602,497524,540137,657058,774630,843171,939430,821388,716894,795025,906592
 "11380","Andrews, TX (Micropolitan Statistical Area)", ,CAINC1,2,"...","Population (persons) 1/","Number of persons",9307,10450,10993,11146,10582,10751,11676,11885,12021,12418,12792,13482,14076,15142,15742,15752,16345,16509,15329,14968,14476,14270,14404,14324,13963,13953,13723,13583,13563,13594,13225,12949,12856,13022,12976,13006,13016,13195,13513,14099,14601,14849,15388,16113,16788,17445,18083,17805,17631,18128
 "11380","Andrews, TX (Micropolitan Statistical Area)", ,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",4011,3887,4356,3892,4793,5562,6203,6947,7931,8382,9011,9786,12405,13479,13392,14090,13806,12312,12727,12643,13768,14537,14513,15312,16119,16501,16765,17313,18555,18344,18519,20565,23225,23002,24901,26471,29118,32839,34943,39904,34075,36375,42699,48075,50225,53851,45423,40264,45092,50011
 "11420","Angola, IN (Micropolitan Statistical Area)", ,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",67348,69915,77000,87607,105522,111457,120649,139435,155319,171843,195675,207916,230008,241660,253545,304047,326200,364347,394701,435127,455356,464369,482457,527800,558127,608375,658877,689223,740832,820352,851972,885800,846546,852592,863519,912009,945335,995293,1024380,1048267,1011533,1047526,1125629,1191927,1211550,1260079,1288634,1335563,1416798,1495191
 "11420","Angola, IN (Micropolitan Statistical Area)", ,CAINC1,2,"...","Population (persons) 1/","Number of persons",19892,20241,20733,21122,21695,22927,23002,23306,23829,24445,24862,24733,24832,24589,24501,24945,25314,25818,26583,27051,27323,27489,27879,28509,29072,29703,30696,31444,31846,32405,32867,33339,33556,33496,33789,33718,33926,34044,34004,34055,34194,34136,34091,34182,34397,34517,34491,34354,34421,34586
 "11420","Angola, IN (Micropolitan Statistical Area)", ,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3386,3454,3714,4148,4864,4861,5245,5983,6518,7030,7870,8406,9263,9828,10348,12189,12886,14112,14848,16085,16666,16893,17305,18513,19198,20482,21465,21919,23263,25316,25922,26569,25228,25454,25556,27048,27865,29235,30125,30782,29582,30687,33018,34870,35223,36506,37361,38876,41161,43231
