GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
 "33000","New Hampshire",1,CAGDP2,82,"81","  Other services (except government and government enterprises)","Thousands of dollars",1242434,1360158,1334994,1383360,1432709,1488871,1474188,1453649,1443670,1468683,1458955,1495684,1523029,1599301,1657336,1691653,1734572,1852999
 "33000","New Hampshire",1,CAGDP2,83,"...","Government and government enterprises","Thousands of dollars",5326052,5585055,5984593,6238766,6587280,6950533,7350940,7679929,7690617,8040984,7943331,7946515,8135742,8371692,8404288,8447191,8546121,8766610
 "33000","New Hampshire",1,CAGDP2,87,"11, 21","Natural resources and mining","Thousands of dollars",185609,194200,218082,242182,223031,253241,270401,277082,220383,236337,235896,289210,274011,270133,275678,252684,270772,267179
 "33000","New Hampshire",1,CAGDP2,88,"42, 44-45","Trade","Thousands of dollars",8135511,8294407,8517497,8549122,8948506,9388500,9257972,9529515,9383051,9796299,9707617,9842929,10009005,9961561,10275046,10385278,10695090,10966303
 "33000","New Hampshire",1,CAGDP2,89,"...","Transportation and utilities","Thousands of dollars",1579747,1564403,1679841,1891794,1959487,2016810,1930467,1973143,2199897,2279077,2274671,2235298,2285384,2341015,2466720,2480763,2522443,2697837
 "33000","New Hampshire",1,CAGDP2,90,"...","Manufacturing and information","Thousands of dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA)
 "33000","New Hampshire",1,CAGDP2,91,"...","Private goods-producing industries 2/","Thousands of dollars",9001849,9051100,9541854,9873832,9498726,10093763,9963596,9112200,8860475,9267607,9576935,9626073,10291559,9780390,11039709,11536809,12045340,12580656
 "33000","New Hampshire",1,CAGDP2,92,"...","Private services-providing industries 3/","Thousands of dollars",32301775,34042307,35851953,38014120,40266071,42367344,43418121,44126541,45386266,46843001,47910195,50116601,51754637,54187977,56589329,58493951,60308733,63116598
 "33001","Belknap, NH",1,CAGDP2,1,"...","All industry total","Thousands of dollars",1913646,2004344,2067636,2121511,2182507,2193813,2249291,2234500,2224532,2232298,2305529,2409561,2519880,2533934,2699806,2777841,2859517,3006726
 "33001","Belknap, NH",1,CAGDP2,2,"..."," Private industries","Thousands of dollars",1699544,1770198,1812157,1860464,1899164,1890269,1928192,1897481,1885952,1889053,1975056,2082481,2183794,2190015,2359667,2433169,2513465,2652324
 "33001","Belknap, NH",1,CAGDP2,3,"11","  Agriculture, forestry, fishing and hunting","Thousands of dollars",(D),(D),(D),(D),(D),2669,(D),(D),2039,3715,6782,(D),(D),7151,(D),(D),(D),(D)
